MATCH: phishing_mails/79 -> similarity=954.00, yara_score=0.00, total=954.00
MATCH: phishing_mails/80 -> similarity=2435.00, yara_score=0.00, total=2435.00
MATCH: phishing_mails/81 -> similarity=1169.00, yara_score=0.00, total=1169.00
MATCH: phishing_mails/82 -> similarity=937.00, yara_score=0.00, total=937.00
MATCH: phishing_mails/83 -> similarity=2320.00, yara_score=0.00, total=2320.00
MATCH: phishing_mails/84 -> similarity=803.00, yara_score=0.00, total=803.00
NO MATCH: phishing_mails/85 -> similarity=497.00, yara_score=0.00, total=497.00
MATCH: phishing_mails/86 -> similarity=1349.00, yara_score=0.00, total=1349.00
MATCH: phishing_mails/87 -> similarity=1469.00, yara_score=0.00, total=1469.00
NO MATCH: phishing_mails/88 -> similarity=370.00, yara_score=0.00, total=370.00
NO MATCH: phishing_mails/89 -> similarity=597.00, yara_score=0.00, total=597.00
MATCH: phishing_mails/90 -> similarity=1130.00, yara_score=0.00, total=1130.00
MATCH: phishing_mails/91 -> similarity=787.00, yara_score=0.00, total=787.00
NO MATCH: phishing_mails/92 -> similarity=450.00, yara_score=0.00, total=450.00
NO MATCH: phishing_mails/93 -> similarity=462.00, yara_score=0.00, total=462.00
MATCH: phishing_mails/94 -> similarity=3926.00, yara_score=0.00, total=3926.00
MATCH: phishing_mails/95 -> similarity=1929.00, yara_score=0.00, total=1929.00
MATCH: phishing_mails/96 -> similarity=823.00, yara_score=0.00, total=823.00
MATCH: phishing_mails/97 -> similarity=700.00, yara_score=0.00, total=700.00
MATCH: phishing_mails/98 -> similarity=1028.00, yara_score=0.00, total=1028.00
MATCH: phishing_mails/99 -> similarity=1169.00, yara_score=0.00, total=1169.00
NO MATCH: phishing_mails/100 -> similarity=418.00, yara_score=0.00, total=418.00
NO MATCH: phishing_mails/101 -> similarity=592.00, yara_score=0.00, total=592.00
MATCH: phishing_mails/102 -> similarity=1949.00, yara_score=0.00, total=1949.00
MATCH: phishing_mails/103 -> similarity=677.00, yara_score=0.00, total=677.00
MATCH: phishing_mails/104 -> similarity=1801.00, yara_score=0.00, total=1801.00
MATCH: phishing_mails/105 -> similarity=757.00, yara_score=0.00, total=757.00
MATCH: phishing_mails/106 -> similarity=1670.00, yara_score=0.00, total=1670.00
MATCH: phishing_mails/107 -> similarity=1632.00, yara_score=0.00, total=1632.00
NO MATCH: phishing_mails/108 -> similarity=547.00, yara_score=0.00, total=547.00
NO MATCH: phishing_mails/109 -> similarity=463.00, yara_score=0.00, total=463.00
MATCH: phishing_mails/110 -> similarity=24031.00, yara_score=0.00, total=24031.00
MATCH: phishing_mails/111 -> similarity=1032.00, yara_score=0.00, total=1032.00
MATCH: phishing_mails/112 -> similarity=1465.00, yara_score=0.00, total=1465.00
MATCH: phishing_mails/113 -> similarity=659.00, yara_score=0.00, total=659.00
MATCH: phishing_mails/114 -> similarity=1365.00, yara_score=0.00, total=1365.00
MATCH: phishing_mails/115 -> similarity=1902.00, yara_score=0.00, total=1902.00
MATCH: phishing_mails/116 -> similarity=651.00, yara_score=0.00, total=651.00
MATCH: phishing_mails/117 -> similarity=621.00, yara_score=0.00, total=621.00
NO MATCH: phishing_mails/118 -> similarity=602.00, yara_score=0.00, total=602.00
MATCH: phishing_mails/119 -> similarity=734.00, yara_score=0.00, total=734.00
MATCH: phishing_mails/120 -> similarity=52334.01, yara_score=0.00, total=52334.01
MATCH: phishing_mails/121 -> similarity=1346.00, yara_score=0.00, total=1346.00
NO MATCH: phishing_mails/122 -> similarity=390.00, yara_score=0.00, total=390.00
MATCH: phishing_mails/123 -> similarity=2382.00, yara_score=0.00, total=2382.00
MATCH: phishing_mails/124 -> similarity=877.00, yara_score=0.00, total=877.00
NO MATCH: phishing_mails/125 -> similarity=444.00, yara_score=0.00, total=444.00
MATCH: phishing_mails/126 -> similarity=730.00, yara_score=0.00, total=730.00
MATCH: phishing_mails/127 -> similarity=2052.00, yara_score=0.00, total=2052.00
MATCH: phishing_mails/128 -> similarity=811.00, yara_score=0.00, total=811.00
MATCH: phishing_mails/129 -> similarity=1690.00, yara_score=0.00, total=1690.00
NO MATCH: phishing_mails/130 -> similarity=393.00, yara_score=0.00, total=393.00
MATCH: phishing_mails/131 -> similarity=661.00, yara_score=0.00, total=661.00
MATCH: phishing_mails/132 -> similarity=3512.00, yara_score=0.00, total=3512.00
MATCH: phishing_mails/133 -> similarity=1449.00, yara_score=0.00, total=1449.00
MATCH: phishing_mails/134 -> similarity=1922.00, yara_score=0.00, total=1922.00
MATCH: phishing_mails/135 -> similarity=1563.00, yara_score=0.00, total=1563.00
NO MATCH: phishing_mails/136 -> similarity=545.00, yara_score=0.00, total=545.00
MATCH: phishing_mails/137 -> similarity=650.00, yara_score=0.00, total=650.00
MATCH: phishing_mails/138 -> similarity=716.00, yara_score=0.00, total=716.00
NO MATCH: phishing_mails/139 -> similarity=478.00, yara_score=0.00, total=478.00
MATCH: phishing_mails/140 -> similarity=710.00, yara_score=0.00, total=710.00
NO MATCH: phishing_mails/141 -> similarity=382.00, yara_score=0.00, total=382.00
MATCH: phishing_mails/142 -> similarity=1173.00, yara_score=0.00, total=1173.00
NO MATCH: phishing_mails/143 -> similarity=608.00, yara_score=0.00, total=608.00
NO MATCH: phishing_mails/144 -> similarity=486.00, yara_score=0.00, total=486.00
MATCH: phishing_mails/145 -> similarity=802.00, yara_score=0.00, total=802.00
MATCH: phishing_mails/146 -> similarity=698.00, yara_score=0.00, total=698.00
MATCH: phishing_mails/147 -> similarity=779.00, yara_score=0.00, total=779.00
NO MATCH: phishing_mails/148 -> similarity=556.00, yara_score=0.00, total=556.00
MATCH: phishing_mails/149 -> similarity=624.00, yara_score=0.00, total=624.00
MATCH: phishing_mails/150 -> similarity=1093.00, yara_score=0.00, total=1093.00
MATCH: phishing_mails/151 -> similarity=666.00, yara_score=0.00, total=666.00
