MATCH: phishing_mails/80 -> similarity=404.00, yara_score=0.00, total=404.00
MATCH: phishing_mails/81 -> similarity=512.00, yara_score=0.00, total=512.00
MATCH: phishing_mails/82 -> similarity=780.00, yara_score=0.00, total=780.00
MATCH: phishing_mails/83 -> similarity=666.00, yara_score=0.00, total=666.00
MATCH: phishing_mails/84 -> similarity=725.00, yara_score=0.00, total=725.00
MATCH: phishing_mails/85 -> similarity=485.00, yara_score=0.00, total=485.00
MATCH: phishing_mails/86 -> similarity=2839.00, yara_score=0.00, total=2839.00
MATCH: phishing_mails/87 -> similarity=179.00, yara_score=0.00, total=179.00
MATCH: phishing_mails/88 -> similarity=421.00, yara_score=0.00, total=421.00
MATCH: phishing_mails/89 -> similarity=216.00, yara_score=0.00, total=216.00
MATCH: phishing_mails/90 -> similarity=850.00, yara_score=0.00, total=850.00
MATCH: phishing_mails/91 -> similarity=1132.00, yara_score=0.00, total=1132.00
MATCH: phishing_mails/92 -> similarity=271.00, yara_score=0.00, total=271.00
MATCH: phishing_mails/93 -> similarity=818.00, yara_score=0.00, total=818.00
MATCH: phishing_mails/94 -> similarity=364.00, yara_score=0.00, total=364.00
MATCH: phishing_mails/95 -> similarity=522.00, yara_score=0.00, total=522.00
MATCH: phishing_mails/96 -> similarity=668.00, yara_score=0.00, total=668.00
MATCH: phishing_mails/97 -> similarity=489.00, yara_score=0.00, total=489.00
MATCH: phishing_mails/98 -> similarity=573.00, yara_score=0.00, total=573.00
MATCH: phishing_mails/99 -> similarity=1068.00, yara_score=0.00, total=1068.00
MATCH: phishing_mails/100 -> similarity=351.00, yara_score=0.00, total=351.00
MATCH: phishing_mails/101 -> similarity=946.00, yara_score=0.00, total=946.00
MATCH: phishing_mails/102 -> similarity=287.00, yara_score=0.00, total=287.00
MATCH: phishing_mails/103 -> similarity=491.00, yara_score=0.00, total=491.00
MATCH: phishing_mails/104 -> similarity=568.00, yara_score=0.00, total=568.00
MATCH: phishing_mails/105 -> similarity=398.00, yara_score=0.00, total=398.00
MATCH: phishing_mails/106 -> similarity=296.00, yara_score=0.00, total=296.00
MATCH: phishing_mails/107 -> similarity=1845.00, yara_score=0.00, total=1845.00
MATCH: phishing_mails/108 -> similarity=475.00, yara_score=0.00, total=475.00
MATCH: phishing_mails/109 -> similarity=564.00, yara_score=0.00, total=564.00
MATCH: phishing_mails/110 -> similarity=838.00, yara_score=0.00, total=838.00
MATCH: phishing_mails/111 -> similarity=1232.00, yara_score=0.00, total=1232.00
MATCH: phishing_mails/112 -> similarity=689.00, yara_score=0.00, total=689.00
MATCH: phishing_mails/113 -> similarity=1199.00, yara_score=0.00, total=1199.00
MATCH: phishing_mails/114 -> similarity=1189.00, yara_score=0.00, total=1189.00
MATCH: phishing_mails/115 -> similarity=905.00, yara_score=0.00, total=905.00
MATCH: phishing_mails/116 -> similarity=2878.00, yara_score=0.00, total=2878.00
MATCH: phishing_mails/117 -> similarity=272.00, yara_score=0.00, total=272.00
MATCH: phishing_mails/118 -> similarity=300.00, yara_score=0.00, total=300.00
MATCH: phishing_mails/119 -> similarity=485.00, yara_score=0.00, total=485.00
MATCH: phishing_mails/120 -> similarity=687.00, yara_score=0.00, total=687.00
MATCH: phishing_mails/121 -> similarity=1756.00, yara_score=0.00, total=1756.00
MATCH: phishing_mails/122 -> similarity=389.00, yara_score=0.00, total=389.00
MATCH: phishing_mails/123 -> similarity=192.00, yara_score=0.00, total=192.00
MATCH: phishing_mails/124 -> similarity=192.00, yara_score=0.00, total=192.00
MATCH: phishing_mails/125 -> similarity=391.00, yara_score=0.00, total=391.00
MATCH: phishing_mails/126 -> similarity=583.00, yara_score=0.00, total=583.00
MATCH: phishing_mails/127 -> similarity=596.00, yara_score=0.00, total=596.00
MATCH: phishing_mails/128 -> similarity=1707.00, yara_score=0.00, total=1707.00
MATCH: phishing_mails/129 -> similarity=703.00, yara_score=0.00, total=703.00
MATCH: phishing_mails/130 -> similarity=404.00, yara_score=0.00, total=404.00
MATCH: phishing_mails/131 -> similarity=1422.00, yara_score=0.00, total=1422.00
MATCH: phishing_mails/132 -> similarity=381.00, yara_score=0.00, total=381.00
MATCH: phishing_mails/133 -> similarity=1468.00, yara_score=0.00, total=1468.00
MATCH: phishing_mails/134 -> similarity=542.00, yara_score=0.00, total=542.00
MATCH: phishing_mails/135 -> similarity=465.00, yara_score=0.00, total=465.00
MATCH: phishing_mails/136 -> similarity=578.00, yara_score=0.00, total=578.00
MATCH: phishing_mails/137 -> similarity=951.00, yara_score=0.00, total=951.00
MATCH: phishing_mails/138 -> similarity=229.00, yara_score=0.00, total=229.00
MATCH: phishing_mails/139 -> similarity=1814.00, yara_score=0.00, total=1814.00
MATCH: phishing_mails/140 -> similarity=856.00, yara_score=0.00, total=856.00
MATCH: phishing_mails/141 -> similarity=856.00, yara_score=0.00, total=856.00
MATCH: phishing_mails/142 -> similarity=4255.00, yara_score=0.00, total=4255.00
MATCH: phishing_mails/143 -> similarity=928.00, yara_score=0.00, total=928.00
MATCH: phishing_mails/144 -> similarity=405.00, yara_score=0.00, total=405.00
MATCH: phishing_mails/145 -> similarity=893.00, yara_score=0.00, total=893.00
MATCH: phishing_mails/146 -> similarity=1535.00, yara_score=0.00, total=1535.00
MATCH: phishing_mails/147 -> similarity=508.00, yara_score=0.00, total=508.00
MATCH: phishing_mails/148 -> similarity=1176.00, yara_score=0.00, total=1176.00
MATCH: phishing_mails/149 -> similarity=341.00, yara_score=0.00, total=341.00
